,engine_capacity,type,registration_year,gearbox,power,model,mileage,fuel,brand,damage,zipcode,insurance_price,price
48298,2.0,bus,2006,auto,140,c4,150000,gasoline,citroen,0,49191,380.0,4267
81047,,,2016,,0,vito,150000,,mercedes_benz,,45896,,2457
92754,2.2,limousine,2010,manual,175,mondeo,125000,diesel,ford,0,59229,930.0,10374
46007,,,2000,auto,265,andere,150000,gasoline,ford,0,39365,680.0,7098
76981,,convertible,03,manual,109,2_reihe,150000,gasoline,peugeot,0,55271,,2365
9651,,station wagon,1999,auto,122,c_klasse,150000,gasoline,mercedes_benz,0,28195,80.0,1415
43085,,station wagon,1999,auto,165,a6,150000,gasoline,audi,,73734,60.0,1091
94244,,,2016,,55,twingo,125000,gasoline,renault,0,86470,,1228
74568,1.6,,2016,manual,105,golf,150000,gasoline,volkswagen,,79268,30.0,2275
20894,1.8,limousine,2005,manual,116,primera,150000,gasoline,nissan,0,23554,330.0,4732
34481,1.6,limousine,2010,manual,115,astra,125000,gasoline,opel,0,75173,460.0,6269
15129,,limousine,2009,manual,86,ibiza,70000,gasoline,seat,,72393,380.0,6279
78290,,small car,2008,auto,120,2_reihe,60000,gasoline,peugeot,0,60598,420.0,5813
36795,,convertible,2001,manual,231,3er,150000,gasoline,bmw,0,57392,300.0,5915
68236,1.2,convertible,2014,manual,105,golf,20000,gasoline,volkswagen,0,38106,670.0,17017
42679,,,2002,auto,220,andere,150000,,nissan,0,63110,410.0,4550
8018,2.3,limousine,1991,manual,136,andere,150000,gasoline,mercedes_benz,0,82140,40.0,1455
4684,,convertible,1998,manual,118,escort,150000,gasoline,ford,0,26409,60.0,864
51492,,limousine,2000,manual,0,a_klasse,125000,gasoline,mercedes_benz,0,47877,70.0,1314
2078,2.4,limousine,2001,auto,165,a6,150000,gasoline,audi,,87437,210.0,2912
76291,1.8,limousine,2008,manual,160,a4,100000,gasoline,audi,0,22049,410.0,10465
68252,,station wagon,2003,manual,105,andere,90000,gasoline,suzuki,0,42651,330.0,2912
73823,,limousine,1997,auto,220,e_klasse,150000,gasoline,mercedes_benz,,4315,80.0,1456
44340,,station wagon,2004,manual,100,fabia,150000,diesel,skoda,0,19246,110.0,2256
33230,1.2,small car,2009,manual,60,panda,150000,,fiat,0,94419,170.0,2593
61712,2.0,station wagon,2012,manual,140,mondeo,150000,diesel,ford,0,29646,530.0,9090
20714,,,2010,manual,136,kuga,125000,diesel,ford,0,56299,800.0,11648
14334,,limousine,00,manual,163,c_klasse,125000,gasoline,mercedes_benz,0,89231,,2912
7853,1.4,small car,09,manual,86,ibiza,70000,gasoline,seat,0,40667,,7179
60868,,station wagon,2008,manual,150,vectra,150000,diesel,opel,,7552,260.0,5004
52716,,station wagon,2005,manual,110,2_reihe,150000,diesel,peugeot,,91452,190.0,2720
17234,1.6,,2016,manual,0,2_reihe,150000,gasoline,peugeot,,45883,,500
10700,1.5,small car,2005,manual,95,colt,100000,diesel,mitsubishi,0,60433,140.0,1774
