,zipcode,city,latitude,longitude
0,19348,Berge bei Perleberg,53.23746,11.87077
1,85309,Pörnbach,48.6167,11.4667
2,24790,"Osterrönfeld Heidkrug, Gemeinde Osterrönfeld",54.27536,9.737535
3,98646,Hildburghausen,50.43950110601,10.723922177567
4,27336,"Frankenfeld, Aller",52.76951,9.43078000000003
5,19294,Karenz,53.23012,11.34384
6,19395,Wendisch Priborn Tönchow,53.34181,12.3207600000001
7,99628,Eßleben-Teutleben,51.1417,11.4583
8,38486,Wenze,52.56471,11.13311
9,72622,Nürtingen,48.6333,9.35
10,27324,Eystrup,52.7764,9.21752
11,17440,Buddenhagen bei Wolgast,54.0000756749505,13.6904298782349
12,19073,Dümmer Walsmühlen,53.56353,11.2614100000001
13,8141,Reinsdorf bei Zwickau,50.7,12.5833
14,6317,Aseleben,51.48859,11.67065
15,56307,Dürrholz,50.5889,7.57222
16,18581,Putbus Altkamp,54.315887,13.42442
17,56370,"Mittelfischbach, Rhein-Lahn-Kreis",50.25,7.95
18,76185,Karlsruhe (Baden) Daxlanden,49.0047,8.38583
19,76189,Karlsruhe (Baden) Daxlanden,49.0047,8.38583
20,7318,Wittgendorf bei Saalfeld,50.6,11.2333
21,19071,Brüsewitz Gottmannsförde,53.68279,11.2731200000001
22,31867,Messenkamp,52.260082,9.379738
23,9661,Rossau bei Mittweida,51.0,13.0667
24,37620,"Halle, Kreis Holzminden",51.99053,9.56191000000001
25,54578,Oberehe-Stroheich,50.2833,6.76667
26,17179,Gnoien Finkenthal,53.94062,12.77757
27,26892,Dörpen,52.96848,7.34218999999996
28,4509,Krostitz,51.46221,12.45321
29,87637,"Eisenberg, Allgäu",47.6,10.6
30,76870,"Kandel, Pfalz",49.0892,8.18417
31,6618,Molau,51.05,11.7833
32,86450,"Altenmünster, Schwaben",48.4667,10.6
33,6842,Dessau-Roßlau,51.84247,12.2305200000001
34,6844,Dessau-Roßlau,51.84247,12.2305200000001
35,6846,Dessau-Roßlau,51.84247,12.2305200000001
36,6847,Dessau-Roßlau,51.84247,12.2305200000001
37,6849,Dessau-Roßlau,51.84247,12.2305200000001
38,6861,Dessau-Roßlau,51.84247,12.2305200000001
39,6862,Dessau-Roßlau,51.84247,12.2305200000001
40,95365,Rugendorf,50.2,11.4667
41,54597,"Matzerath, Eifel",50.15,6.38333
42,66121,Saarbrücken Schafbrücke,49.2333,7.0
43,87653,"Eggenthal, Schwaben",47.9167,10.5167
44,25590,Osterstedt,54.11061,9.57374000000004
45,37691,Derental,51.69517,9.43173000000002
46,25917,Leck,54.7718980373985,8.97466555293232
47,17379,"Ferdinandshof, Vorpommern Sprengersfelde",53.68983,13.89665
